datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/05/05 16:52:00,AQUA_M-T,Brasil,TOCANTINS,ALMAS,Cerrado,10,0,0.6,-11.82818,-47.29903,10.1
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,10,0.2,0.1,-12.06012,-54.02264,28.7
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,12,0,0.2,-13.0027,-55.07848,32.7
2022/05/05 16:52:00,AQUA_M-T,Brasil,BAHIA,BOM JESUS DA LAPA,Caatinga,14,0,1,-13.25406,-43.39193,21.5
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,11,0.3,0.1,-12.09218,-54.52288,29.1
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,QUERENCIA,Amazonia,11,0,1,-12.13212,-52.80205,16.3
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Cerrado,11,0,1,-13.55427,-54.19137,33.8
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,6,0,0.3,-12.20572,-57.59972,39.2
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Amazonia,7,0,0.3,-12.20724,-57.60342,38.3
2022/05/05 16:52:00,AQUA_M-T,Brasil,BAHIA,BOM JESUS DA LAPA,Cerrado,13,0,-999,-13.25588,-43.40359,13.9
2022/05/05 16:52:00,AQUA_M-T,Brasil,TOCANTINS,SANDOLANDIA,Cerrado,10,0,0.7,-12.23825,-50.03257,9.8
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,QUERENCIA,Amazonia,11,0,0.3,-12.2834,-52.68552,45.8
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,QUERENCIA,Amazonia,11,0,0.2,-12.44327,-52.50851,24.4
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,QUERENCIA,Amazonia,11,0,0.4,-12.28684,-52.67815,53
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,QUERENCIA,Amazonia,11,0,0.3,-12.28902,-52.69617,135.8
2022/05/05 16:52:00,AQUA_M-T,Brasil,GOIAS,PORANGATU,Cerrado,13,0,1,-13.27079,-49.44374,9.6
2022/05/05 16:52:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Cerrado,12,0,1,-13.58813,-54.11223,32
